State,City,County,Year,SO,NO,CO,O3,Latitude,Longitude
Kentucky,Louisville,Jefferson,2002,2.32633677119,12.0140318559,0.285063576271,0.029583720339,38.188962,-85.676819
Louisiana,Baton Rouge,East Baton Rouge,2002,2.61934801458,18.0456996414,0.719035556851,0.0210349241983,30.44924,-91.185607
Massachusetts,Boston,Suffolk,2002,4.57871004979,22.5444205788,0.320791207469,0.0222811680498,42.370567,-71.026964
Michigan,Grand Rapids,Kent,2002,1.68889373481,15.7404110387,0.363359110497,0.0289468342541,42.984226,-85.629101
Michigan,Detroit,Wayne,2002,5.15146358235,20.7291867118,0.372215682353,0.0282005294118,42.239933,-83.150823
Missouri,Breckenridge Hills,Saint Louis,2002,3.53097653302,15.8764386509,0.630077287736,0.0287933820755,38.714496,-90.367338
Missouri,St. Louis,St. Louis City,2002,4.63253707075,18.8567650613,0.544758924528,0.0289408490566,38.627003,-90.199402
Nevada,Boulder City,Clark,2002,0.0614965014409,2.98555080115,0.0465898184438,0.0412798760807,36.020563,-114.82952
New Hampshire,Manchester,Hillsborough,2002,1.08480352459,9.96172769399,0.281778568306,0.0305330218579,42.9956397,-71.4547891
New Jersey,Camden,Camden,2002,7.02032613445,20.3295559132,0.522176868347,0.027384907563,39.950912,-75.118869
New Jersey,Newark,Essex,2002,3.6603986303,28.1525680273,0.654576221212,0.0186763878788,40.736101,-74.22509
New York,New York,Bronx,2002,8.57523406215,27.6134409605,0.67085820904,0.0168999632768,40.819329,-73.920355
New York,New York,Queens,2002,6.27901436076,27.7150826044,0.553565962025,0.0195054082278,40.75,-73.866667
New York,Holtsville,Suffolk,2002,5.58727782143,17.1737030467,0.127606247253,0.0292543736264,40.922326,-72.637078
North Carolina,Winston-Salem,Forsyth,2002,3.5356051811,10.9858417795,0.439257283465,0.040535480315,36.101817,-80.28762
North Carolina,Charlotte,Mecklenburg,2002,2.45993561231,12.7660603662,0.401807701538,0.0358715230769,35.26002,-80.804151
Oklahoma,Park Hill,Cherokee,2002,0.323654987261,6.58325042675,0.0287974458599,0.0296934649682,35.8093,-95.076549
Oklahoma,Ponca City,Kay,2002,2.12642422222,5.75771023611,0.117616861111,0.0333902569444,36.736868,-97.18908
Oklahoma,Miami,Ottawa,2002,0.697540936306,7.29211865605,0.0370313375796,0.0310488598726,36.842401,-94.854482
Pennsylvania,Pittsburgh,Allegheny,2002,9.90734312617,19.315894771,0.361039719626,0.0285633831776,40.418119,-80.052576
Pennsylvania,Beaver Falls,Beaver,2002,5.30692586538,15.1348277308,0.185973764423,0.0251117307692,40.7503413,-80.5000669
Pennsylvania,Reading,Berks,2002,6.24828811416,17.0569064247,0.454108273973,0.0288073607306,40.357242,-75.940153
Pennsylvania,Altoona,Blair,2002,4.77113585981,10.8922150748,0.00979359345794,0.0308608037383,40.489433,-78.349874
Pennsylvania,Bristol,Bucks,2002,6.29384791667,13.213319,0.0376225539216,0.0314940441176,40.115859,-74.853608
Pennsylvania,Johnstown,Cambria,2002,5.43087051442,10.071111601,0.4795539375,0.0282885,40.412707,-78.854245
Pennsylvania,Scranton,Lackawanna,2002,2.97259143779,12.4487296636,0.0619111843318,0.0304511382488,41.401881,-75.637626
Pennsylvania,Lancaster,Lancaster,2002,3.27802296804,10.5810738584,0.359011547945,0.0327793744292,40.076553,-76.31068
Pennsylvania,New Castle,Lawrence,2002,4.73598421495,14.8301295327,0.319212845794,0.0252516074766,40.964516,-80.300736
Pennsylvania,Norristown,Montgomery,2002,3.3193985545,11.2547006209,0.0768342511848,0.0321618341232,40.149154,-75.356627
Pennsylvania,Freemansburg,Northampton,2002,4.77041215814,11.1902676744,0.264627060465,0.0296575953488,40.626488,-75.345735
Pennsylvania,Philadelphia,Philadelphia,2002,4.33307060057,24.3325414589,0.506795949008,0.0168451643059,40.001811,-75.11787
Pennsylvania,Charleroi,Washington,2002,5.09315292381,12.3490802714,0.172638904762,0.028486952381,40.135834,-79.932907
Pennsylvania,Greensburg,Westmoreland,2002,4.81500468966,14.6388479557,0.222651197044,0.0296234187192,40.347017,-79.500729
Pennsylvania,York,York,2002,5.1621431934,14.8966939434,0.239203386792,0.0330726462264,40.001615,-76.689918
Tennessee,Not in a city,Haywood,2002,1.17942362577,1.93168544172,1.0,0.0304986993865,35.633418,-89.276381
Tennessee,Not in a city,Meigs,2002,1.278076665,4.034673705,1.0,0.036582935,35.484053,-84.84546
Texas,Dallas,Dallas,2002,0.391129442254,18.4017094282,0.339163704225,0.0242460760563,32.781179,-96.790329
Texas,El Paso,El Paso,2002,0.344278809892,14.8361942813,0.345108890263,0.031336202473,31.763608,-106.484592
